sentence|sentiment|chapter|book|spells|characters|groups
 He picked  up his walking stick, which was propped against the  wall, and set off into the night|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  The front door of the Riddle House bore no sign of  being forced, nor did any of the windows|-0.7351|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 Frank  limped around to the back of the house until he  reached a door almost completely hidden by ivy, took  out the old key, put it into the lock, and opened the  door noiselessly|0.1027|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  He let himself into the cavernous kitchen|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Frank had  not entered it for many years; nevertheless, although  it was very dark, he remembered where the door into  the hall was, and he groped his way toward it, his  nostrils full of the smell of decay, ears pricked for any  sound of footsteps or voices from overhead|-0.5106|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He  reached the hall, which was a little lighter owing to  the large mullioned windows on either side of the  front door, and started to climb the stairs, blessing  the dust that lay thick upon the stone, because it  muffled the sound of his feet and stick|0.5574|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  On the landing, Frank turned right, and saw at once  where the intruders were: At the very end of the  passage a door stood ajar, and a flickering light shone  through the gap, casting a long sliver of gold across  the black floor|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Frank edged closer and closer,  grasping his walking stick firmly|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Several feet from  the entrance, he was able to see a narrow slice of the  room beyond|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  The fire, he now saw, had been lit in the grate|-0.34|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 This  surprised him|0.2263|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Then he stopped moving and listened  intently, for a man’s voice spoke within the room; it  sounded timid and fearful|-0.7269|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “There is a little more in the bottle, My Lord, if you  are still hungry|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “Later,” said a second voice|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 This too belonged to a  man — but it was strangely high-pitched, and cold as  a sudden blast of icy wind|-0.4215|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Something about that  voice made the sparse hairs on the back of Frank’s  neck stand up|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “Move me closer to the fire, Wormtail|-0.34|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
”  Frank turned his right ear toward the door, the better  to hear|0.4404|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 There came the clink of a bottle being put  down upon some hard surface, and then the dull  scraping noise of a heavy chair being dragged across  the floor|-0.5106|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Frank caught a glimpse of a small man, his  back to the door, pushing the chair into place|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He was  wearing a long black cloak, and there was a bald  patch at the back of his head|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Then he went out of  sight again|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Where is Nagini?” said the cold voice|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Nagini'}|{'Pet'}
  “I — I don’t know, My Lord,” said the first voice  nervously|-0.1531|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “She set out to explore the house, I think|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “You will milk her before we retire, Wormtail,” said  the second voice|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “I will need feeding in the night|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 The  journey has tired me greatly|-0.4404|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  Brow furrowed, Frank inclined his good ear still closer  to the door, listening very hard|0.2975|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 There was a pause,  and then the man called Wormtail spoke again|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
  “My Lord, may I ask how long we are going to stay  here?”  “A week,” said the cold voice|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “Perhaps longer|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 The  place is moderately comfortable, and the plan cannot  proceed yet|0.5106|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 It would be foolish to act before the  Quidditch World Cup is over|-0.2732|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  Frank inserted a gnarled finger into his ear and  rotated it|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Owing, no doubt, to a buildup of earwax,  he had heard the word “Quidditch,” which was not a  word at all|0.2755|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “The — the Quidditch World Cup, My Lord?” said  Wormtail|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 (Frank dug his finger still more vigorously  into his ear|0.2006|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
) “Forgive me, but — I do not understand  — why should we wait until the World Cup is over?”  “Because, fool, at this very moment wizards are  pouring into the country from all over the world, and  every meddler from the Ministry of Magic will be on  duty, on the watch for signs of unusual activity,  checking and double-checking identities|-0.5927|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 They will be  obsessed with security, lest the Muggles notice  anything|0.1779|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 So we wait|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  Frank stopped trying to clear out his ear|0.1779|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He had  distinctly heard the words “Ministry of Magic,”  “wizards,” and “Muggles|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
” Plainly, each of these  expressions meant something secret, and Frank could  think of only two sorts of people who would speak in  code: spies and criminals|-0.5719|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Frank tightened his hold  on his walking stick once more, and listened more  closely still|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Your Lordship is still determined, then?” Wormtail  said quietly|0.34|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
  “Certainly I am determined, Wormtail|0.34|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
” There was a  note of menace in the cold voice now|-0.4939|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  A slight pause followed — and then Wormtail spoke,  the words tumbling from him in a rush, as though he  was forcing himself to say this before he lost his  nerve|-0.3182|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
  “It could be done without Harry Potter, My Lord|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Harry Potter'}|"{'Potter Family', 'Gryffindor Quidditch', ""Dumbledore's Army"", 'Gryffindor', 'Golden Trio'}"
”  Another pause, more protracted, and then —  “Without Harry Potter?” breathed the second voice  softly|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Harry Potter'}|"{'Potter Family', 'Gryffindor Quidditch', ""Dumbledore's Army"", 'Gryffindor', 'Golden Trio'}"
 “I see |0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “My Lord, I do not say this out of concern for the boy!”  said Wormtail, his voice rising squeakily|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “The boy is  nothing to me, nothing at all! It is merely that if we  were to use another witch or wizard — any wizard —  the thing could be done so much more quickly! If you  allowed me to leave you for a short while — you know  that I can disguise myself most effectively — I could  be back here in as little as two days with a suitable  person — ”  “I could use another wizard,” said the cold voice  softly, “that is true|0.4361|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “My Lord, it makes sense,” said Wormtail, sounding  thoroughly relieved now|0.4391|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “Laying hands on Harry  Potter would be so difficult, he is so well protected — ”  “And so you volunteer to go and fetch me a  substitute? I wonder |0.3976|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Harry Potter'}|"{'Potter Family', 'Gryffindor Quidditch', ""Dumbledore's Army"", 'Gryffindor', 'Golden Trio'}"
 perhaps the task of nursing  me has become wearisome for you, “Wormtail? Could  this suggestion of abandoning the plan be nothing  more than an attempt to desert me?”  “My Lord! I — I have no wish to leave you, none at all  “Do not lie to me!” hissed the second voice|-0.7186|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “I can  always tell, Wormtail! You are regretting that you ever  returned to me|-0.4574|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 I revolt you|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 I see you flinch when you  look at me, feel you shudder when you touch me|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “No! My devotion to Your Lordship — ”  “Your devotion is nothing more than cowardice|0.7424|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 You  would not be here if you had anywhere else to go|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  How am I to survive without you, when I need feeding  every few hours? Who is to milk Nagini?”  “But you seem so much stronger, My Lord — ”  “Liar,” breathed the second voice|0.5004|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Nagini'}|{'Pet'}
 “I am no stronger,  and a few days alone would be enough to rob me of  the little health I have regained under your clumsy  care|-0.555|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Silencel”  Wormtail, who had been sputtering incoherently, fell  silent at once|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 For a few seconds, Frank could hear  nothing but the fire crackling|0.3724|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Then the second man  spoke once more, in a whisper that was almost a hiss|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “I have my reasons for using the boy, as I have  already explained to you, and I will use no other|-0.296|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 I  have waited thirteen years|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 A few more months will  make no difference|-0.296|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 As for the protection surrounding  the boy, I believe my plan will be effective|0.4767|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 All that is  needed is a little courage from you, Wormtail —  courage you will find, unless you wish to feel the full  extent of Lord Voldemort’s wrath — ”  “My Lord, I must speak!” said Wormtail, panic in his  voice now|0.7003|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew', 'Tom Marvolo Riddle'}|{'Death Eater', 'Marauder'}
 “All through our journey I have gone over  the plan in my head — My Lord, Bertha Jorkins’s  disappearance will not go unnoticed for long, and if  we proceed, if I murder — ”  “IP” whispered the second voice|-0.6908|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Bertha Jorkins'}|{'Ministry'}
 “If? If you follow the  plan, Wormtail, the Ministry need never know that  anyone else has died|-0.5574|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 You will do it quietly and  without fuss; I only wish that I could do it myself, but  in my present condition |0.2144|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Come, Wormtail, one more  death and our path to Harry Potter is clear|-0.3804|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Harry Potter', 'Peter Pettigrew'}|"{'Marauder', 'Potter Family', 'Gryffindor Quidditch', 'Death Eater', ""Dumbledore's Army"", 'Gryffindor', 'Golden Trio'}"
 I am not  asking you to do it alone|-0.25|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 By that time, my faithful  servant will have rejoined us — ”  “I am a faithful servant,” said Wormtail, the merest  trace of sullenness in his voice|0.7003|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
  “Wormtail, I need somebody with brains, somebody  whose loyalty has never wavered, and you,  unfortunately, fulfill neither requirement|0.6124|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
”  “I found you,” said Wormtail, and there was definitely  a sulky edge to his voice now|0.2263|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “I was the one who  found you|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 I brought you Bertha Jorkins|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Bertha Jorkins'}|{'Ministry'}
”  “That is true,” said the second man, sounding  amused|0.4215|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “A stroke of brilliance I would not have  thought possible from you, Wormtail — though, if  truth be told, you were not aware how useful she  would be when you caught her, were you?”  “I — I thought she might be useful, My Lord — ”  “Liar,” said the second voice again, the cruel  amusement more pronounced than ever|0.6591|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 “However, I  do not deny that her information was invaluable|0.2584|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  Without it, I could never have formed our plan, and  for that, you will have your reward, Wormtail|0.5719|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
 I will  allow you to perform an essential task for me, one  that many of my followers would give their right  hands to perform|0.2263|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “R-really, My Lord? What — ?” Wormtail sounded  terrified again|-0.6553|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Peter Pettigrew'}|{'Death Eater', 'Marauder'}
