sentence|sentiment|chapter|book|spells|characters|groups
  The Prime Minister’s heart sank|0.6369|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He had been afraid  of that|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “But I really was rather hoping to speak — ”  “We shall arrange for the President to forget to call|0.2878|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  He will telephone tomorrow night instead,” said the  little man|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 “Kindly respond immediately to Mr  Fudge|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
”  “I |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 oh |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 very well,” said the Prime Minister weakly|-0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “Yes, I’ll see Fudge|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
”  He hurried back to his desk, straightening his tie as  he went|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He had barely resumed his seat, and  arranged his face into what he hoped was a relaxed  and unfazed expression, when bright green flames  burst into life in the empty grate beneath his marble  mantelpiece|0.7845|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He watched, trying not to betray a flicker  of surprise or alarm, as a portly man appeared within  the flames, spinning as fast as a top|0.5951|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Seconds later,  he had climbed out onto a rather fine antique rug,  brushing ash from the sleeves of his long pin-striped  cloak, a lime-green bowler hat in his hand|0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “Ah |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Prime Minister,” said Cornelius Fudge, striding  forward with his hand outstretched|0.4939|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “Good to see you  again|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  The Prime Minister could not honestly return this  compliment, so said nothing at all|0.1581|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He was not  remotely pleased to see Fudge, whose occasional  appearances, apart from being downright alarming in  themselves, generally meant that he was about to  hear some very bad news|-0.7717|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 Furthermore, Fudge was  looking distinctly careworn|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 He was thinner, balder,  and grayer, and his face had a crumpled look|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The  Prime Minister had seen that kind of look in  politicians before, and it never boded well|-0.2057|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “How can I help you?” he said, shaking Fudge’s hand  very briefly and gesturing toward the hardest of the  chairs in front of the desk|0.6369|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “Difficult to know where to begin,” muttered Fudge,  pulling up the chair, sitting down, and placing his  green bowler upon his knees|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “What a week, what a  week |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  “Had a bad one too, have you?” asked the Prime  Minister stiffly, hoping to convey by this that he had  quite enough on his plate already without any extra  helpings from Fudge|-0.1779|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “Yes, of course,” said Fudge, rubbing his eyes wearily  and looking morosely at the Prime Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “I’ve been  having the same week you have, Prime Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The  Brockdale Bridge |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 the Bones and Vance murders |-0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  not to mention the ruckus in the West Country |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  “You — er — your — I mean to say, some of your  people were — were involved in those — those things,  were they?”  Fudge fixed the Prime Minister with a rather stern  look|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “Of course they were,” he said|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 “Surely you’ve  realized what’s going on?”  “I |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
” hesitated the Prime Minister|-0.3182|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  It was precisely this sort of behavior that made him  dislike Fudge’s visits so much|-0.3818|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 He was, after all, the  Prime Minister and did not appreciate being made to  feel like an ignorant schoolboy|-0.2163|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 But of course, it had  been like this from his very first meeting with Fudge  on his very first evening as Prime Minister|0.5023|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 He  remembered it as though it were yesterday and knew  it would haunt him until his dying day|-0.4019|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  He had been standing alone in this very office,  savoring the triumph that was his after so many  years of dreaming and scheming, when he had heard  a cough behind him, just like tonight, and turned to  find that ugly little portrait talking to him,  announcing that the Minister of Magic was about to  arrive and introduce himself|0.0772|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  Naturally, he had thought that the long campaign and  the strain of the election had caused him to go mad|-0.5267|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  He had been utterly terrified to find a portrait talking  to him, though this had been nothing to how he felt  when a self-proclaimed wizard had bounced out of the  fireplace and shaken his hand|-0.3384|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He had remained  speechless throughout Fudge’s kindly explanation  that there were witches and wizards still living in  secret all over the world and his reassurances that he  was not to bother his head about them as the  Ministry of Magic took responsibility for the whole  Wizarding community and prevented the non-magical  population from getting wind of them|0.7741|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 It was, said  Fudge, a difficult job that encompassed everything  from regulations on responsible use of broomsticks to  keeping the dragon population under control (the  Prime Minister remembered clutching the desk for  support at this point)|0.3612|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 Fudge had then patted the  shoulder of the still-dumbstruck Prime Minister in a  fatherly sort of way|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “Not to worry,” he had said, “it’s odds-on you’ll never  see me again|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 I’ll only bother you if there’s something  really serious going on our end, something that’s  likely to affect the Muggles — the non-magical  population, I should say|-0.4576|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Otherwise, it’s live and let  live|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 And I must say, you’re taking it a lot better than  your predecessor|0.4404|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He tried to throw me out the  window, thought I was a hoax planned by the  opposition|-0.2732|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  At this, the Prime Minister had found his voice at last|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “You’re — you’re not a hoax, then?”  It had been his last, desperate hope|0.343|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “No,” said Fudge gently|0.4588|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “No, I’m afraid I’m not|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Look|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  And he had turned the Prime Minister’s teacup into a  gerbil|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “But,” said the Prime Minister breathlessly, watching  his teacup chewing on the corner of his next speech,  “but why — why has nobody told me — ?”  “The Minister of Magic only reveals him- or herself to  the Muggle Prime Minister of the day,” said Fudge,  poking his wand back inside his jacket|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “We find it  the best way to maintain secrecy|0.6369|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  “But then,” bleated the Prime Minister, “why hasn’t a  former Prime Minister warned me — ?”  At this, Fudge had actually laughed|0.2263|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “My dear Prime Minister, are you ever going to tell  anybody?”  Still chortling, Fudge had thrown some powder into  the fireplace, stepped into the emerald flames, and  vanished with a whooshing sound|0.3818|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 The Prime  Minister had stood there, quite motionless, and  realized that he would never, as long as he lived, dare  mention this encounter to a living soul, for who in the  wide world would believe him?  The shock had taken a little while to wear off|-0.3818|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 For a  time, he had tried to convince himself that Fudge had  indeed been a hallucination brought on by lack of  sleep during his grueling election campaign|-0.0772|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 In a vain  attempt to rid himself of all reminders of this  uncomfortable encounter, he had given the gerbil to  his delighted niece and instructed his private  secretary to take down the portrait of the ugly little  man who had announced Fudge’s arrival|-0.7003|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 To the  Prime Minister’s dismay, however, the portrait had  proved impossible to remove|-0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 When several  carpenters, a builder or two, an art historian, and the  Chancellor of the Exchequer had all tried  unsuccessfully to prise it from the wall, the Prime  Minister had abandoned the attempt and simply  resolved to hope that the thing remained motionless  and silent for the rest of his term in office|-0.2732|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  Occasionally he could have sworn he saw out of the  corner of his eye the occupant of the painting  yawning, or else scratching his nose; even, once or  twice, simply walking out of his frame and leaving  nothing but a stretch of muddy-brown canvas behind|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  However, he had trained himself not to look at the  picture very much, and always to tell himself firmly  that his eyes were playing tricks on him when  anything like this happened|0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  Then, three years ago, on a night very like tonight, the  Prime Minister had been alone in his office when the  portrait had once again announced the imminent  arrival of Fudge, who had burst out of the fireplace,  sopping wet and in a state of considerable panic|-0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  Before the Prime Minister could ask why he was  dripping all over the Axminster, Fudge had started  ranting about a prison the Prime Minister had never  heard of, a man named “Serious” Black, something  that sounded like “Hogwarts,” and a boy called Harry  Potter, none of which made the remotest sense to the  Prime Minister|-0.2023|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Harry Potter', 'Sirius Black', 'Cornelius Fudge'}|"{'Order of the Phoenix', 'Marauders', ""Dumbledore's Army"", 'Gryffindor', 'Golden Trio', 'Gryffindor Quidditch', 'Ministry', 'Black Family', 'Potter Family'}"
"  """|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Fve just come from Azkaban,” Fudge had panted,  tipping a large amount of water out of the rim of his  bowler hat into his pocket|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “Middle of the North Sea,  you know, nasty flight |-0.5574|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 the dementors are in  uproar” — he shuddered — “they’ve never had a  breakout before|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Anyway, I had to come to you, Prime  Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Black’s a known Muggle killer and may be  planning to rejoin You-Know-Who|-0.6486|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Sirius Black', 'Tom Marvolo Riddle'}|{'Black Family', 'Order of the Phoenix', 'Marauders'}
 But of course,  you don’t even know who You-Know-Who is!” He had  gazed hopelessly at the Prime Minister for a moment,  then said, “Well, sit down, sit down, I’d better fill you  in|-0.1882|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Tom Marvolo Riddle'}|set()
 Have a whiskey |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  The Prime Minister rather resented being told to sit  down in his own office, let alone offered his own  whiskey, but he sat nevertheless|-0.3182|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Fudge pulled out  his wand, conjured two large glasses full of amber  liquid out of thin air, pushed one of them into the  Prime Minister’s hand, and drew up a chair|0.4939|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  Fudge had talked for more than an hour|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 At one  point, he had refused to say a certain name aloud and  wrote it instead on a piece of parchment, which he  had thrust into the Prime Minister’s whiskey-free  hand|0.4767|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 When at last Fudge had stood up to leave, the  Prime Minister had stood up too|-0.0516|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “So you think that |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
” He had squinted down at the  name in his left hand|0.4939|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 “Lord Vol — ”  “ He-Who-Must-Not-Be-Named\” snarled Fudge|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “I’m sorry|-0.0772|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 You think that He-Who-Must-Not-Be-  Named is still alive, then?”  “Well, Dumbledore says he is,” said Fudge, as he had  fastened his pin-striped cloak under his chin, “but  we’ve never found him|0.3818|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 If you ask me, he’s not  dangerous unless he’s got support, so it’s Black we  ought to be worrying about|0.4318|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Sirius Black'}|{'Black Family', 'Order of the Phoenix', 'Marauders'}
 You’ll put out that  warning, then? Excellent|0.3182|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Well, I hope we don’t see  each other again, Prime Minister! Good night|0.8016|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  But they had seen each other again|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Less than a year  later a harassed-looking Fudge had appeared out of  thin air in the cabinet room to inform the Prime  Minister that there had been a spot of bother at the  Kwidditch (or that was what it had sounded like)  World Cup and that several Muggles had been  “involved,” but that the Prime Minister was not to  worry, the fact that You-Know- Who’s Mark had been  seen again meant nothing; Fudge was sure it was an  isolated incident, and the Muggle Liaison Office was  dealing with all memory modifications as they spoke|-0.3036|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “Oh, and I almost forgot,” Fudge had added|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “We’re  importing three foreign dragons and a sphinx for the  Triwizard Tournament, quite routine, but the  Department for the Regulation and Control of Magical  Creatures tells me that it’s down in the rule book that  we have to notify you if we’re bringing highly  dangerous creatures into the country|-0.6798|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Reginald Cattermole'}|{'Ministry'}
”  “I — what — dragons?” spluttered the Prime Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “Yes, three,” said Fudge|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “And a sphinx|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Well, good  day to you|0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  The Prime Minister had hoped beyond hope that  dragons and sphinxes would be the worst of it, but  no|-0.3818|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Less than two years later, Fudge had erupted out  of the fire yet again, this time with the news that  there had been a mass breakout from Azkaban|-0.34|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “A mass breakout?” repeated the Prime Minister  hoarsely|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “No need to worry, no need to worry!” shouted Fudge,  already with one foot in the flames|-0.6588|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 “We’ll have them  rounded up in no time — just thought you ought to  know!”  And before the Prime Minister could shout, “Now, wait  just one moment!” Fudge had vanished in a shower of  green sparks|-0.4184|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  Whatever the press and the opposition might say, the  Prime Minister was not a foolish man|0.2057|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It had not  escaped his notice that, despite Fudge’s assurances  at their first meeting, they were now seeing rather a  lot of each other, nor that Fudge was becoming more  flustered with each visit|-0.5153|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 Little though he liked to  think about the Minister of Magic (or, as he always  called Fudge in his head, the Other Minister), the  Prime Minister could not help but fear that the next  time Fudge appeared it would be with graver news  still|0.2338|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 The sight, therefore, of Fudge stepping out of the  fire once more, looking disheveled and fretful and  sternly surprised that the Prime Minister did not  know exactly why he was there, was about the worst  thing that had happened in the course of this  extremely gloomy week|-0.7574|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “How should I know what’s going on in the — er —  Wizarding community?” snapped the Prime Minister  now|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 “I have a country to run and quite enough  concerns at the moment without — ”  “We have the same concerns,” Fudge interrupted|-0.296|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
  “The Brockdale Bridge didn’t wear out|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 That wasn’t  really a hurricane|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Those murders were not the work  of Muggles|-0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 And Herbert Chorley’s family would be  safer without him|0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cho Chang'}|"{""Dumbledore's Army"", 'Ravenclaw Quidditch', 'Ravenclaw'}"
 We are currently making  arrangements to have him transferred to St Mungo’s  Hospital for Magical Maladies and Injuries|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The move  should be effected tonight|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  “What do you |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 I’m afraid I |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 What?” blustered the  Prime Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  Fudge took a great, deep breath and said, “Prime  Minister, I am very sorry to have to tell you that he’s  back|0.5434|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
 He-Who-Must-Not-Be-Named is back|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
”  “Back? When you say ‘back’ |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 he’s alive? I mean — ”  The Prime Minister groped in his memory for the  details of that horrible conversation of three years  previously, when Fudge had told him about the  wizard who was feared above all others, the wizard  who had committed a thousand terrible crimes before  his mysterious disappearance fifteen years earlier|-0.7269|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
