sentence|sentiment|chapter|book|spells|characters|groups
  Harry was particularly keen to avoid trouble with his  aunt and uncle at the moment, as they were already  in an especially bad mood with him, all because he’d  received a telephone call from a fellow wizard one  week into the school vacation|-0.7322|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  Ron Weasley, who was one of Harry’s best friends at  Hogwarts, came from a whole family of wizards|0.8074|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 This  meant that he knew a lot of things Harry didn’t, but  had never used a telephone before|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Most unluckily it  had been Uncle Vernon who had answered the call|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley'}|{'Dursley Family'}
  “Vernon Dursley speaking|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley'}|{'Dursley Family'}
”  Harry, who happened to be in the room at the time,  froze as he heard Ron’s voice answer|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  “HELLO? HELLO? CAN YOU HEAR ME? I — WANT —  TO — TALK — TO — HARRY — POTTER!”  Ron was yelling so loudly that Uncle Vernon jumped  and held the receiver a foot away from his ear, staring  at it with an expression of mingled fury and alarm|-0.7095|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Dursley Family', 'Gryffindor Quidditch'}"
  “WHO IS THIS?” he roared in the direction of the  mouthpiece|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 “WHO ARE YOU?”  “RON — WEASLEY!” Ron bellowed back, as though he  and Uncle Vernon were speaking from opposite ends  of a football field|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Dursley Family', 'Gryffindor Quidditch'}"
 “I’M — A — FRIEND — OF —  HARRY’S — FROM — SCHOOL — ”  Uncle Vernon’s small eyes swiveled around to Harry,  who was rooted to the spot|0.6037|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Dursley Family', 'Potter Family', 'Gryffindor Quidditch'}"
  “THERE IS NO HARRY POTTER HERE!” he roared,  now holding the receiver at arm’s length, as though  frightened it might explode|-0.729|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 “I DONT KNOW WHAT  SCHOOL YOU’RE TALKING ABOUT! NEVER  CONTACT ME AGAIN! DONT YOU COME NEAR MY  FAMILY!”  And he threw the receiver back onto the telephone as  if dropping a poisonous spider|-0.6784|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  The fight that had followed had been one of the worst  ever|-0.7717|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  “HOW DARE YOU GIVE THIS NUMBER TO PEOPLE  LIKE — PEOPLE LIKE YOU!” Uncle Vernon had  roared, spraying Harry with spit|0.8422|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Dursley Family', 'Potter Family', 'Gryffindor Quidditch'}"
  Ron obviously realized that he’d gotten Harry into  trouble, because he hadn’t called again|-0.4019|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Harry’s other  best friend from Hogwarts, Hermione Granger, hadn’t  been in touch either|0.8126|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger'}|"{'Golden Trio', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Harry suspected that Ron had  warned Hermione not to call, which was a pity,  because Hermione, the cleverest witch in Harry’s  year, had Muggle parents, knew perfectly well how to  use a telephone, and would probably have had  enough sense not to say that she went to Hogwarts|0.4939|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hermione Granger', 'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  So Harry had had no word from any of his wizarding  friends for five long weeks, and this summer was  turning out to be almost as bad as the last one|-0.323|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 There  was just one very small improvement — after  swearing that he wouldn’t use her to send letters to  any of his friends, Harry had been allowed to let his  owl, Hedwig, out at night|0.6573|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hedwig'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Uncle Vernon had given in  because of the racket Hedwig made if she was locked  in her cage all the time|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Vernon Dursley', 'Hedwig'}|{'Pet', 'Dursley Family'}
  Harry finished writing about Wendelin the Weird and  paused to listen again|-0.1779|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 The silence in the dark house  was broken only by the distant, grunting snores of his  enormous cousin, Dudley|-0.4767|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Dudley Dursley'}|{'Dursley Family'}
 It must be very late, Harry  thought|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 His eyes were itching with tiredness|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Perhaps he’d finish this essay tomorrow night|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  He replaced the top of the ink bottle; pulled an old  pillowcase from under his bed; put the flashlight, A  History of Magic, his essay, quill, and ink inside it; got  out of bed; and hid the lot under a loose floorboard  under his bed|-0.2263|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Then he stood up, stretched, and  checked the time on the luminous alarm clock on his  bedside table|-0.34|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  It was one o’clock in the morning|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Harry’s stomach  gave a funny jolt|0.4404|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 He had been thirteen years old,  without realizing it, for a whole hour|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Yet another unusual thing about Harry was how little  he looked forward to his birthdays|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 He had never  received a birthday card in his life|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 The Dursleys had  completely ignored his last two birthdays, and he had  no reason to suppose they would remember this one|-0.5849|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Harry walked across the dark room, past Hedwig’s  large, empty cage, to the open window|-0.2023|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Hedwig'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 He leaned on  the sill, the cool night air pleasant on his face after a  long time under the blankets|0.6808|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Hedwig had been  absent for two nights now|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hedwig'}|{'Pet'}
 Harry wasn’t worried  about her: she’d been gone this long before|-0.296|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 But he  hoped she’d be back soon — she was the only living  creature in this house who didn’t flinch at the sight of  him|0.5267|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Harry, though still rather small and skinny for his  age, had grown a few inches over the last year|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 His  jet-black hair, however, was just as it always had  been — stubbornly untidy, whatever he did to it|-0.34|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 The  eyes behind his glasses were bright green, and on his  forehead, clearly visible through his hair, was a thin  scar, shaped like a bolt of lightning|0.7964|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Of all the unusual things about Harry, this scar was  the most extraordinary of all|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 It was not, as the  Dursleys had pretended for ten years, a souvenir of  the car crash that had killed Harry’s parents, because  Lily and James Potter had not died in a car crash|-0.7891|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Lily Potter', 'James Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  They had been murdered, murdered by the most  feared Dark wizard for a hundred years, Lord  Voldemort|-0.923|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Tom Marvolo Riddle'}|set()
 Harry had escaped from the same attack  with nothing more than a scar on his forehead, where  Voldemort’s curse, instead of killing him, had  rebounded upon its originator|-0.9001|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Tom Marvolo Riddle'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Barely alive,  Voldemort had fled|0.3197|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Tom Marvolo Riddle'}|set()
  But Harry had come face-to-face with him at  Hogwarts|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Remembering their last meeting as he  stood at the dark window, Harry had to admit he was  lucky even to have reached his thirteenth birthday|0.6124|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  He scanned the starry sky for a sign of Hedwig,  perhaps soaring back to him with a dead mouse  dangling from her beak, expecting praise|-0.1779|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hedwig'}|{'Pet'}
 Gazing  absently over the rooftops, it was a few seconds before  Harry realized what he was seeing|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  Silhouetted against the golden moon, and growing  larger every moment, was a large, strangely lopsided  creature, and it was flapping in Harry’s direction|-0.128|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 He  stood quite still, watching it sink lower and lower|-0.5267|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 For  a split second he hesitated, his hand on the window  latch, wondering whether to slam it shut|-0.1779|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 But then  the bizarre creature soared over one of the street  lamps of Privet Drive, and Harry, realizing what it  was, leapt aside|-0.4497|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  Through the window soared three owls, two of them  holding up the third, which appeared to be  unconscious|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 They landed with a soft flump on  Harry’s bed, and the middle owl, which was large and  gray, keeled right over and lay motionless|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 There was  a large package tied to its legs|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Harry recognized the unconscious owl at once — his  name was Errol, and he belonged to the Weasley  family|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol', 'Harry Potter'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Harry dashed to the bed, untied the cords  around Errol’s legs, took off the parcel, and then  carried Errol to Hedwig’s cage|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol', 'Harry Potter', 'Hedwig'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Errol opened one  bleary eye, gave a feeble hoot of thanks, and began to  gulp some water|0.1779|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol'}|{'Pet'}
  Harry turned back to the remaining owls|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 One of  them, the large snowy female, was his own Hedwig|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Hedwig'}|{'Pet'}
  She, too, was carrying a parcel and looked extremely  pleased with herself|0.4927|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 She gave Harry an affectionate  nip with her beak as he removed her burden, then  flew across the room to join Errol|0.296|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol', 'Harry Potter'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  Harry didn’t recognize the third owl, a handsome  tawny one, but he knew at once where it had come  from, because in addition to a third package, it was  carrying a letter bearing the Hogwarts crest|0.2732|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 When  Harry relieved this owl of its burden, it ruffled its  feathers importantly, stretched its wings, and took off  through the window into the night|0.25|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  Harry sat down on his bed and grabbed Errol’s  package, ripped off the brown paper, and discovered a  present wrapped in gold, and his first ever birthday  card|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Errol', 'Harry Potter'}|"{'Golden Trio', 'Pet', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Fingers trembling slightly, he opened the  envelope|-0.3612|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Two pieces of paper fell out — a letter and a  newspaper clipping|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  The clipping had clearly come out of the wizarding  newspaper, the Daily Prophet, because the people in  the black-and-white picture were moving|0.4019|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
 Harry  picked up the clipping, smoothed it out, and read:  MINISTRY OF MAGIC EMPLOYEE  SCOOPS GRAND PRIZE  Arthur Weasley, Head of the Misuse of Muggle Artifacts  Office at the Ministry of Magic, has won the annual  Daily Prophet Grand Prize Galleon Draw|0.9569|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter', 'Arthur Weasley'}|"{'Golden Trio', 'Order of the Phoenix', 'Ministry', 'Weasley Family', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
  A delighted Mr Weasley told the Daily Prophet, “We  will be spending the gold on a summer holiday in  Egypt, where our eldest son, Bill, works as a curse  breaker for Gringotts Wizarding Bank|0.3612|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Bill Weasley', 'Arthur Weasley'}|{'Ministry', 'Weasley Family', 'Order of the Phoenix'}
 ”  The Weasley family will be spending a month in  Egypt, returning for the start of the new school year  at Hogwarts, which five of the Weasley children  currently attend|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|set()|set()
  Harry scanned the moving photograph, and a grin  spread across his face as he saw all nine of the  Weasleys waving furiously at him, standing in front of  a large pyramid|0.0516|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 Plump little Mrs Weasley; tall,  balding Mr Weasley; six sons; and one daughter, all  (though the black-and-white picture didn’t show it)  with flaming-red hair|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Arthur Weasley', 'Molly Weasley'}|{'Ministry', 'Weasley Family', 'Order of the Phoenix'}
 Right in the middle of the  picture was Ron, tall and gangling, with his pet rat,  Scabbers, on his shoulder and his arm around his  little sister, Ginny|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ginny Weasley', 'Scabbers', 'Ron Weasley'}|"{'Golden Trio', 'Pet', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  Harry couldn’t think of anyone who deserved to win a  large pile of gold more than the Weasleys, who were  very nice and extremely poor|0.5423|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
 He picked up Ron’s  letter and unfolded it|0.0|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Ron Weasley'}|"{'Golden Trio', 'Weasley Family', 'Gryffindor', 'Prefect', ""Dumbledore's Army"", 'Gryffindor Quidditch'}"
  Dear Harry,  Happy birthday!  Look, I’m really sorry about that telephone call|0.7183|36 Owl Post  |3 Harry Potter And The Prisoner Of Azkaban|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Potter Family', 'Gryffindor Quidditch'}"
